"","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"Subject001",0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1
"Subject002",0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject003",0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0
"Subject004",1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1
"Subject005",0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Subject006",0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"Subject007",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Subject008",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject009",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"Subject010",0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"Subject011",1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0
"Subject012",1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0
"Subject013",1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"Subject014",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Subject015",0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Subject016",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"Subject017",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject018",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Subject019",0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"Subject020",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject021",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
"Subject022",1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1
"Subject023",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject024",0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1
"Subject025",1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0
"Subject026",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Subject027",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Subject028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject029",0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0
"Subject030",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject031",1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
"Subject032",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject033",1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
"Subject034",0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
"Subject035",1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1
"Subject036",1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0
"Subject037",0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1
"Subject038",1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0
"Subject039",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
"Subject040",0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
"Subject041",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Subject042",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject043",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"Subject044",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Subject045",1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"Subject046",1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1
"Subject047",0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"Subject048",0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0
"Subject049",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Subject050",0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
"Subject051",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject052",1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Subject053",0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"Subject054",0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Subject055",0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1
"Subject056",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject057",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Subject058",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Subject059",0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"Subject060",1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1
"Subject061",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Subject062",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject063",1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0
"Subject064",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
"Subject065",1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0
"Subject066",0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1
"Subject067",1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0
"Subject068",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Subject069",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject070",0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0
"Subject071",0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
"Subject072",0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"Subject073",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject074",1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0
"Subject075",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"Subject076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject077",0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0
"Subject078",1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1
"Subject079",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject080",0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
"Subject081",0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"Subject082",1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
"Subject083",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Subject084",1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Subject085",1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0
"Subject086",1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1
"Subject087",1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1
"Subject088",1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"Subject089",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject090",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
